Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC
Turnagain Pass,"954	",Alaska,SNOTEL,Kenai Peninsula,1880,60.78043,-149.18325,"190203020406	"
Upper Chena,"952	",Alaska,SNOTEL,Fairbanks North Star,2850,65.1,-144.93317,"190803060102	"
Upper Nome Creek,"1090	",Alaska,SNOTEL,Yukon-Koyukuk,2520,65.3671,-146.592,"190804020304	"
Upper Tsaina River,"1055	",Alaska,SNOTEL,Valdez-Cordova,1750,61.19112,-145.64807,"190201040203	"
Baker Butte,"308	",Arizona,SNOTEL,Coconino,7363,34.45654,-111.40651,"150602030206	"
Baker Butte Smt,"1140	",Arizona,SNOTEL,Coconino,7752,34.45552,-111.38262,"150602030103	"
Baldy,"310	",Arizona,SNOTEL,Apache,9221,33.97845,-109.50357,"150200010203	"
Bar M,"1212	",Arizona,SNOTEL,Coconino,6397,34.86142,-111.60497,"150602020601	"
Beaver Head,"902	",Arizona,SNOTEL,Greenlee,8076,33.69115,-109.21685,"150601010107	"
Beaver Spring,"1143	",Arizona,SNOTEL,Apache,9255,36.32671,-109.05702,"140802040401	"
Chalender,"1139	",Arizona,SNOTEL,Coconino,7035,35.26238,-112.06221,"150602020305	"
Coronado Trail,"416	",Arizona,SNOTEL,Apache,8418,33.80418,-109.15352,"150400040501	"
Fort Valley,"1121	",Arizona,SNOTEL,Coconino,7371,35.26773,-111.74479,"150200150102	"
Fry,"488	",Arizona,SNOTEL,Coconino,7236,35.07356,-111.84477,"150602020501	"
Hannagan Meadows,"511	",Arizona,SNOTEL,Greenlee,9027,33.65352,-109.30877,"150601010107	"
Happy Jack,"969	",Arizona,SNOTEL,Coconino,7539,34.74594,-111.41219,"150602020604	"
Hawley Lake,"1271	",Arizona,SNOTEL,Apache,8314,33.97121,-109.76531,"150601020106	"
Heber,"519	",Arizona,SNOTEL,Coconino,7650,34.31254,-110.75433,"150200100201	"
Maverick Fork,"617	",Arizona,SNOTEL,Apache,9220,33.92123,-109.45872,"150601010104	"
Mormon Mountain,"640	",Arizona,SNOTEL,Coconino,7500,34.94141,-111.51864,"150200150201	"
Mormon Mtn Summit,"1125	",Arizona,SNOTEL,Coconino,8462,34.96942,-111.50868,"150200150202	"
Nutrioso,"1127	",Arizona,SNOTEL,Apache,8571,33.89791,-109.15465,"150400040301	"
Promontory,"705	",Arizona,SNOTEL,Coconino,7942,34.36848,-111.01088,"150200080306	"
Snowslide Canyon,"927	",Arizona,SNOTEL,Coconino,9744,35.34179,-111.65084,"150200160201	"
White Horse Lake,"861	",Arizona,SNOTEL,Coconino,7203,35.14189,-112.14966,"150602020204	"
Wildcat,"866	",Arizona,SNOTEL,Apache,7868,33.74347,-109.48078,"150601010109	"
Workman Creek,"877	",Arizona,SNOTEL,Gila,7032,33.81259,-110.91852,"150601030802	"
Adin Mtn,"301	",California,SNOTEL,Modoc,6190,41.23583,-120.79192,"180200021403	"
Blue Lakes,"356	",California,SNOTEL,Alpine,8067,38.60801,-119.92455,"180400120101	"
Burnside Lake,"1051	",California,SNOTEL,Alpine,8129,38.71943,-119.8942,"160502010107	"
Carson Pass,"1067	",California,SNOTEL,Alpine,8355,38.6927,-120.0022,"180201290101	"
Cedar Pass,"391	",California,SNOTEL,Modoc,7030,41.58233,-120.3025,"180200020603	"
Crowder Flat,"977	",California,SNOTEL,Modoc,5170,41.89318,-120.75202,"180102040103	"
Css Lab,"428	",California,SNOTEL,Nevada,6894,39.32565,-120.36807,"180201250602	"
Dismal Swamp,"446	",California,SNOTEL,Modoc,7360,41.99127,-120.18033,"171200070304	"
Ebbetts Pass,"462	",California,SNOTEL,Alpine,8661,38.5497,-119.80468,"160502010104	"
Echo Peak,"463	",California,SNOTEL,El Dorado,7653,38.849,-120.0795,"160501010303	"
Fallen Leaf,"473	",California,SNOTEL,El Dorado,6242,38.93403,-120.0545,"160501010401	"
Forestdale Creek,"1049	",California,SNOTEL,Alpine,8017,38.68245,-119.9597,"160502010301	"
Fredonyer Peak,"1277	",California,SNOTEL,Lassen,7208,40.68799,-120.60805,"180800030304	"
Hagans Meadow,"508	",California,SNOTEL,El Dorado,7742,38.8519,-119.9374,"160501010302	"
Heavenly Valley,"518	",California,SNOTEL,El Dorado,8534,38.92431,-119.91641,"160501010302	"
Horse Meadow,"1050	",California,SNOTEL,Alpine,8557,38.83652,-119.88732,"160502010302	"
Independence Camp,"539	",California,SNOTEL,Sierra,6980,39.45269,-120.29367,"160501020102	"
Independence Creek,"540	",California,SNOTEL,Sierra,6436,39.49001,-120.28226,"160501020102	"
Independence Lake,"541	",California,SNOTEL,Nevada,8338,39.42752,-120.31342,"160501020104	"
Leavitt Lake,"574	",California,SNOTEL,Mono,9604,38.27594,-119.61281,"160503020104	"
Leavitt Meadows,"575	",California,SNOTEL,Mono,7198,38.30367,-119.55111,"160503020104	"
Lobdell Lake,"587	",California,SNOTEL,Mono,9249,38.43745,-119.36572,"160503020201	"
Lost Lakes,"1331	",California,SNOTEL,Alpine,8640,38.64745,-119.95141,"160502010301	"
Monitor Pass,"633	",California,SNOTEL,Alpine,8306,38.6683,-119.6087,"160502010201	"
Palisades Tahoe,"784	",California,SNOTEL,Placer,8013,39.18986,-120.26576,"160501020202	"
Poison Flat,"697	",California,SNOTEL,Alpine,7736,38.50576,-119.62624,"160502010102	"
Rubicon #2,"724	",California,SNOTEL,El Dorado,7619,38.99927,-120.13139,"160501010402	"
Sonora Pass,"771	",California,SNOTEL,Mono,8770,38.31021,-119.6003,"160503020104	"
Spratt Creek,"778	",California,SNOTEL,Alpine,6063,38.66627,-119.81741,"160502010107	"
State Line,"1258	",California,SNOTEL,Modoc,5680,41.98609,-120.71574,"180102040201	"
Summit Meadow,"1052	",California,SNOTEL,Mono,9313,38.39747,-119.53522,"160503020203	"
Tahoe City Cross,"809	",California,SNOTEL,Placer,6797,39.17162,-120.15362,"160501010101	"
Truckee #2,"834	",California,SNOTEL,Placer,6509,39.30087,-120.18407,"160501020204	"
Virginia Lakes Ridge,"846	",California,SNOTEL,Mono,9400,38.07298,-119.23433,"160503010103	"
Ward Creek #3,"848	",California,SNOTEL,Placer,6745,39.13545,-120.21865,"160501010403	"
Willow Flat CA,"1317	",California,SNOTEL,Mono,8215,38.27203,-119.45124,"160503020103	"
Apishapa,"303	",Colorado,SNOTEL,Huerfano,10027,37.33067,-105.06766,"110200060406	"
Arapaho Ridge,"1030	",Colorado,SNOTEL,Grand,10976,40.35098,-106.38141,"140100010604	"
Bear Lake,"322	",Colorado,SNOTEL,Larimer,9522,40.31176,-105.6467,"101900060201	"
Bear River,"1061	",Colorado,SNOTEL,Routt,9112,40.06152,-107.00948,"140500010102	"
Beartown,"327	",Colorado,SNOTEL,San Juan,11600,37.71433,-107.5124,"130100010104	"
Beaver Ck Village,"1041	",Colorado,SNOTEL,Eagle,8565,39.59871,-106.51113,"140100030301	"
Berthoud Summit,"335	",Colorado,SNOTEL,Grand,11314,39.80364,-105.77786,"140100010202	"
Bison Lake,"345	",Colorado,SNOTEL,Garfield,10964,39.76458,-107.35628,"140100011401	"
Black Mesa,"1185	",Colorado,SNOTEL,Dolores,11564,37.78968,-108.18376,"140300020103	"
Black Mountain,"1161	",Colorado,SNOTEL,Larimer,8980,40.8879,-105.66404,"101900070501	"
Brumley,"369	",Colorado,SNOTEL,Lake,10594,39.08758,-106.54231,"110200010101	"
Buckskin Joe,"938	",Colorado,SNOTEL,Park,11166,39.30378,-106.11316,"101900010102	"
Buffalo Park,"913	",Colorado,SNOTEL,Grand,9249,40.22838,-106.5962,"140100010706	"
Burro Mountain,"378	",Colorado,SNOTEL,Rio Blanco,9317,39.87504,-107.59902,"140500050302	"
Butte,"380	",Colorado,SNOTEL,Gunnison,10200,38.89435,-106.95327,"140200010206	"
Cascade #2,"387	",Colorado,SNOTEL,San Juan,9012,37.65751,-107.80287,"140801040201	"
Castle Peak,"1326	",Colorado,SNOTEL,Pitkin,11500,39.00074,-106.83912,"140100040202	"
Chapman Tunnel,"1101	",Colorado,SNOTEL,Pitkin,10100,39.2621,-106.62944,"140100040504	"
Cochetopa Pass,"1059	",Colorado,SNOTEL,Saguache,10061,38.16273,-106.5988,"130100040203	"
Columbine,"408	",Colorado,SNOTEL,Jackson,9167,40.39591,-106.60437,"101800010102	"
Columbine Pass,"409	",Colorado,SNOTEL,Montrose,9171,38.41819,-108.38313,"140200050202	"
Columbus Basin,"904	",Colorado,SNOTEL,La Plata,10781,37.44146,-108.02468,"140801050101	"
Copeland Lake,"412	",Colorado,SNOTEL,Boulder,8555,40.20733,-105.5695,"101900050202	"
Copper Mountain,"415	",Colorado,SNOTEL,Summit,10523,39.48917,-106.17154,"140100020302	"
Crosho,"426	",Colorado,SNOTEL,Rio Blanco,8973,40.16749,-107.05769,"140500010106	"
Culebra #2,"430	",Colorado,SNOTEL,Costilla,10562,37.20939,-105.19988,"130100020902	"
Cumbres Trestle,"431	",Colorado,SNOTEL,Conejos,10035,37.01877,-106.45275,"130201020203	"
Deadman Hill,"438	",Colorado,SNOTEL,Larimer,10239,40.80572,-105.77018,"101900070502	"
Dry Lake,"457	",Colorado,SNOTEL,Routt,8271,40.5337,-106.7814,"140500010409	"
Echo Lake,"936	",Colorado,SNOTEL,Clear Creek,10694,39.65539,-105.59358,"101900020801	"
El Diente Peak,"465	",Colorado,SNOTEL,Dolores,10217,37.78607,-108.02235,"140300020202	"
Elk River,"467	",Colorado,SNOTEL,Routt,8739,40.84758,-106.96861,"140500010206	"
Elkhead Divide,"1252	",Colorado,SNOTEL,Routt,8800,40.79637,-107.10113,"140500010601	"
Elliot Ridge,"1120	",Colorado,SNOTEL,Summit,10549,39.8638,-106.42473,"140100020602	"
Elwood Pass,"1325	",Colorado,SNOTEL,Rio Grande,11680,37.40563,-106.64136,"130100020302	"
Fool Creek,"1186	",Colorado,SNOTEL,Grand,11156,39.86866,-105.86765,"140100010203	"
Fremont Pass,"485	",Colorado,SNOTEL,Summit,11326,39.38014,-106.19784,"140100020301	"
Glen Cove,"1057	",Colorado,SNOTEL,Teller,11391,38.87602,-105.07605,"110200030201	"
Grayback,"1058	",Colorado,SNOTEL,Rio Grande,11626,37.47051,-106.5379,"130100020101	"
Grizzly Peak,"505	",Colorado,SNOTEL,Summit,11139,39.64646,-105.8694,"140100020201	"
Hayden Pass,"1102	",Colorado,SNOTEL,Saguache,10699,38.29303,-105.85027,"130100030301	"
High Lonesome,"1187	",Colorado,SNOTEL,Grand,10638,40.0359,-105.75472,"140100010205	"
Hoosier Pass,"531	",Colorado,SNOTEL,Summit,11611,39.36092,-106.05999,"101900010102	"
Hourglass Lake,"1122	",Colorado,SNOTEL,Larimer,9417,40.57717,-105.62584,"101900070101	"
Idarado,"538	",Colorado,SNOTEL,Ouray,9812,37.93389,-107.6762,"140200060201	"
Independence Pass,"542	",Colorado,SNOTEL,Pitkin,10598,39.07543,-106.61154,"140100040101	"
Ivanhoe,"547	",Colorado,SNOTEL,Pitkin,10541,39.29228,-106.54907,"140100040501	"
Jackwhacker Gulch,"935	",Colorado,SNOTEL,Clear Creek,11054,39.57096,-105.80355,"101900020201	"
Joe Wright,"551	",Colorado,SNOTEL,Larimer,10158,40.53285,-105.88747,"101900070204	"
Jones Pass,"970	",Colorado,SNOTEL,Grand,10426,39.7645,-105.90655,"140100010402	"
Kiln,"556	",Colorado,SNOTEL,Pitkin,9624,39.3172,-106.61501,"140100040504	"
Lake Eldora,"564	",Colorado,SNOTEL,Boulder,9728,39.93659,-105.59031,"101900050402	"
Lake Irene,"565	",Colorado,SNOTEL,Grand,10682,40.41446,-105.81941,"140100010302	"
Lily Pond,"580	",Colorado,SNOTEL,Conejos,11069,37.38028,-106.54823,"130100020302	"
Lizard Head Pass,"586	",Colorado,SNOTEL,Dolores,10193,37.79895,-107.92475,"140300020201	"
Lone Cone,"589	",Colorado,SNOTEL,San Miguel,9755,37.89169,-108.19636,"140300030302	"
Long Draw Resv,"1123	",Colorado,SNOTEL,Larimer,10008,40.51154,-105.7654,"101900070203	"
Lost Dog,"940	",Colorado,SNOTEL,Routt,9327,40.81557,-106.74833,"140500010203	"
Loveland Basin,"602	",Colorado,SNOTEL,Clear Creek,11427,39.67428,-105.90264,"101900040102	"
Lynx Pass,"607	",Colorado,SNOTEL,Routt,8919,40.07832,-106.67095,"140100011001	"
Mancos,"905	",Colorado,SNOTEL,Montezuma,10044,37.43109,-108.17005,"140801070102	"
Mc Clure Pass,"618	",Colorado,SNOTEL,Gunnison,8774,39.12899,-107.28834,"140200040203	"
Mccoy Park,"1040	",Colorado,SNOTEL,Eagle,9516,39.60231,-106.544,"140100030302	"
Medano Pass,"914	",Colorado,SNOTEL,Saguache,9668,37.85192,-105.43666,"130100030604	"
Mesa Lakes,"622	",Colorado,SNOTEL,Mesa,10168,39.05738,-108.05756,"140100051307	"
Michigan Creek,"937	",Colorado,SNOTEL,Park,10702,39.43579,-105.91072,"101900010404	"
Middle Creek,"624	",Colorado,SNOTEL,Mineral,11269,37.61779,-107.03932,"130100010501	"
Middle Fork Camp,"1014	",Colorado,SNOTEL,Grand,8969,39.79565,-106.02802,"140100010402	"
Mineral Creek,"629	",Colorado,SNOTEL,San Juan,10046,37.84737,-107.72657,"140801040103	"
Molas Lake,"632	",Colorado,SNOTEL,San Juan,10631,37.74929,-107.68933,"140801040302	"
Moon Pass,"1124	",Colorado,SNOTEL,Saguache,11128,37.96627,-106.55857,"130100040201	"
Nast Lake,"658	",Colorado,SNOTEL,Pitkin,8731,39.29695,-106.60786,"140100040504	"
Never Summer,"1031	",Colorado,SNOTEL,Jackson,10323,40.40392,-105.95567,"101800010401	"
Niwot,"663	",Colorado,SNOTEL,Boulder,9979,40.03581,-105.5452,"101900050401	"
North Lost Trail,"669	",Colorado,SNOTEL,Gunnison,9219,39.07818,-107.14388,"140100040703	"
Overland Res.,"675	",Colorado,SNOTEL,Delta,9893,39.09035,-107.63583,"140200040101	"
Park Cone,"680	",Colorado,SNOTEL,Gunnison,9621,38.81982,-106.58962,"140200010107	"
Park Reservoir,"682	",Colorado,SNOTEL,Delta,9987,39.04433,-107.87951,"140200050111	"
Phantom Valley,"688	",Colorado,SNOTEL,Grand,9045,40.39803,-105.84606,"140100010302	"
Porphyry Creek,"701	",Colorado,SNOTEL,Gunnison,10788,38.48864,-106.33967,"140200030105	"
Rabbit Ears,"709	",Colorado,SNOTEL,Routt,9411,40.36735,-106.74118,"140500010402	"
Rat Creek,"1324	",Colorado,SNOTEL,Mineral,11680,37.93571,-106.98192,"130100010602	"
Rawah,"1032	",Colorado,SNOTEL,Jackson,9069,40.70794,-106.00727,"101800010603	"
Red Mountain Pass,"713	",Colorado,SNOTEL,San Juan,11080,37.89168,-107.71389,"140801040103	"
Ripple Creek,"717	",Colorado,SNOTEL,Rio Blanco,10350,40.10844,-107.29383,"140500050102	"
Roach,"718	",Colorado,SNOTEL,Larimer,9740,40.87498,-106.04675,"101800100106	"
Rough And Tumble,"939	",Colorado,SNOTEL,Park,10432,39.02611,-106.08063,"101900010202	"
Saint Elmo,"1100	",Colorado,SNOTEL,Chaffee,10450,38.69985,-106.36805,"110200010501	"
Sargents Mesa,"1128	",Colorado,SNOTEL,Saguache,11499,38.2856,-106.37085,"130100040306	"
Sawtooth,"1251	",Colorado,SNOTEL,Boulder,9676,40.13632,-105.58486,"101900050102	"
Schofield Pass,"737	",Colorado,SNOTEL,Gunnison,10653,39.01467,-107.04933,"140100040701	"
Scotch Creek,"739	",Colorado,SNOTEL,Dolores,9195,37.64562,-108.00833,"140300020204	"
Sharkstooth,"1060	",Colorado,SNOTEL,Montezuma,10747,37.50356,-108.11405,"140300020206	"
Slumgullion,"762	",Colorado,SNOTEL,Hinsdale,11560,37.99076,-107.20392,"140200020502	"
South Colony,"773	",Colorado,SNOTEL,Custer,10868,37.96647,-105.53671,"110200011206	"
Spud Mountain,"780	",Colorado,SNOTEL,San Juan,10674,37.69883,-107.77841,"140801040202	"
Stillwater Creek,"793	",Colorado,SNOTEL,Grand,8880,40.22532,-105.9198,"140100010306	"
Stump Lakes,"797	",Colorado,SNOTEL,La Plata,11248,37.47647,-107.63348,"140801040702	"
Summit Ranch,"802	",Colorado,SNOTEL,Summit,9371,39.71803,-106.1577,"140100020502	"
Tower,"825	",Colorado,SNOTEL,Routt,10620,40.5374,-106.67655,"140500010407	"
Trapper Lake,"827	",Colorado,SNOTEL,Garfield,9759,39.99881,-107.23618,"140500050101	"
Trinchera,"829	",Colorado,SNOTEL,Costilla,10922,37.35296,-105.23259,"130100020601	"
University Camp,"838	",Colorado,SNOTEL,Boulder,10360,40.03307,-105.57562,"101900050401	"
Upper Rio Grande,"839	",Colorado,SNOTEL,Hinsdale,9379,37.72172,-107.25971,"130100010106	"
Upper San Juan,"840	",Colorado,SNOTEL,Mineral,10140,37.48563,-106.83528,"140801010203	"
Upper Taylor,"1141	",Colorado,SNOTEL,Gunnison,10717,38.99071,-106.74504,"140200010101	"
Ute Creek,"1005	",Colorado,SNOTEL,Costilla,10734,37.6148,-105.37322,"130100020604	"
Vail Mountain,"842	",Colorado,SNOTEL,Eagle,10310,39.61765,-106.38019,"140100030102	"
Vallecito,"843	",Colorado,SNOTEL,La Plata,10782,37.48524,-107.50748,"140801011105	"
Wager Gulch,"1188	",Colorado,SNOTEL,Hinsdale,11132,37.88248,-107.36428,"140200020602	"
Weminuche Creek,"1160	",Colorado,SNOTEL,Hinsdale,10749,37.51968,-107.32139,"140801020203	"
Whiskey Ck,"857	",Colorado,SNOTEL,Las Animas,10290,37.21423,-105.12262,"110200100102	"
Wild Basin,"1042	",Colorado,SNOTEL,Boulder,9439,40.201,-105.6025,"101900050202	"
Willow Creek Pass,"869	",Colorado,SNOTEL,Grand,9523,40.34734,-106.0952,"140100010102	"
Willow Park,"870	",Colorado,SNOTEL,Larimer,10732,40.43397,-105.73588,"101900060204	"
Wolf Creek Summit,"874	",Colorado,SNOTEL,Mineral,10957,37.47903,-106.80234,"140801010203	"
Zirkel,"1033	",Colorado,SNOTEL,Jackson,9338,40.79492,-106.59544,"101800010202	"
Atlanta Summit,"306	",Idaho,SNOTEL,Elmore,7580,43.7569,-115.23907,"170501110204	"
Banner Summit,"312	",Idaho,SNOTEL,Boise,7040,44.30342,-115.23447,"170501200202	"
Bear Basin,"319	",Idaho,SNOTEL,Adams,5350,44.95222,-116.14293,"170602100104	"
Bear Canyon,"320	",Idaho,SNOTEL,Custer,7900,43.74367,-113.93797,"170402180101	"
Bear Mountain,"323	",Idaho,SNOTEL,Bonner,5400,48.30577,-116.07448,"170102131202	"
Bear Saddle,"324	",Idaho,SNOTEL,Washington,6180,44.60533,-116.98097,"170501241001	"
Big Creek Summit,"338	",Idaho,SNOTEL,Valley,6560,44.62621,-115.79561,"170602080402	"
Bogus Basin,"978	",Idaho,SNOTEL,Boise,6340,43.76377,-116.09685,"170501220201	"
Bostetter R.S.,"359	",Idaho,SNOTEL,Cassia,7500,42.16442,-114.19272,"170402120201	"
Brundage Reservoir,"370	",Idaho,SNOTEL,Adams,6250,45.04315,-116.13253,"170602100104	"
Camas Creek Divide,"382	",Idaho,SNOTEL,Elmore,5710,43.26548,-115.3453,"170402200101	"
Chocolate Gulch,"895	",Idaho,SNOTEL,Blaine,6310,43.7685,-114.41812,"170402190301	"
Cool Creek,"411	",Idaho,SNOTEL,Clearwater,6280,46.76361,-115.29528,"170603070702	"
Couch Summit,"1306	",Idaho,SNOTEL,Camas,6800,43.51768,-114.8022,"170501130204	"
Cozy Cove,"423	",Idaho,SNOTEL,Valley,5400,44.28846,-115.65508,"170501200403	"
Crab Creek,"424	",Idaho,SNOTEL,Clark,6900,44.437,-111.99384,"170402140108	"
Crater Meadows,"425	",Idaho,SNOTEL,Clearwater,5960,46.56394,-115.28903,"170603070502	"
Deadwood Summit,"439	",Idaho,SNOTEL,Valley,6860,44.54514,-115.5638,"170501200401	"
Dollarhide Summit,"450	",Idaho,SNOTEL,Blaine,8420,43.6025,-114.67417,"170402190201	"
Elk Butte,"466	",Idaho,SNOTEL,Clearwater,5690,46.83998,-116.12233,"170603080701	"
Emigrant Summit,"471	",Idaho,SNOTEL,Bear Lake,7390,42.36055,-111.56085,"160102020206	"
Fish Ck,"1305	",Idaho,SNOTEL,Blaine,6330,43.55542,-113.71924,"170402210401	"
Franklin Basin,"484	",Idaho,SNOTEL,Franklin,8140,42.0505,-111.6012,"160102020501	"
Galena,"489	",Idaho,SNOTEL,Blaine,7470,43.87722,-114.6725,"170402190101	"
Galena Summit,"490	",Idaho,SNOTEL,Blaine,8780,43.87497,-114.71363,"170402190101	"
Garfield R.S.,"492	",Idaho,SNOTEL,Blaine,6560,43.6104,-113.9308,"170402210301	"
Giveout,"493	",Idaho,SNOTEL,Bear Lake,6930,42.4132,-111.1663,"160102010401	"
Graham Guard Sta.,"496	",Idaho,SNOTEL,Elmore,5690,43.9538,-115.27387,"170501110303	"
Hemlock Butte,"520	",Idaho,SNOTEL,Clearwater,5810,46.48111,-115.63361,"170603070601	"
Hidden Lake,"988	",Idaho,SNOTEL,Boundary,5040,48.8937,-116.75748,"170101040502	"
Hilts Creek,"524	",Idaho,SNOTEL,Custer,8000,44.01897,-113.4723,"170402170401	"
Howell Canyon,"534	",Idaho,SNOTEL,Cassia,7980,42.32029,-113.61587,"170402090602	"
Humboldt Gulch,"535	",Idaho,SNOTEL,Shoshone,4250,47.53178,-115.77643,"170103020102	"
Hyndman,"537	",Idaho,SNOTEL,Blaine,7620,43.71077,-114.15894,"170402190402	"
Island Park,"546	",Idaho,SNOTEL,Fremont,6290,44.4203,-111.38512,"170402020601	"
Jackson Peak,"550	",Idaho,SNOTEL,Boise,7070,44.05092,-115.44322,"170501200304	"
Lolo Pass,"588	",Idaho,SNOTEL,Idaho,5240,46.63448,-114.58072,"170102051401	"
